order_id,lat,lng,dow,promised_time,actual_time,on_demand,picker_id,driver_id,store_branch_id,total_minutes
6abd5e28d01b7c733fe37485294235dc,18.2211411,-100.3139137,2,13:00:00,12:00:15,false,09bb5bfe76adbb474dddbdd111a51623,09bb5bfe76adbb474dddbdd111a51623,0dc6fb5924a8b917bc641666ed02663c,91.800861
0d37a1eea001f01b40232ffd496ff663,18.1777122,-100.3570507,2,13:00:00,10:28:10,false,c4c722114a82fa21654e57e9636d68b0,c4c722114a82fa21654e57e9636d68b0,2bbf833e689d24b697f1f3529c3f3c4b,206.599732
528428e9b9eb5d3bd0dbdd8da692b087,18.26683205,-100.3175528,2,11:00:00,10:40:50,false,e15c7a67d0ea9a54dffb410bc1d8528b,e15c7a67d0ea9a54dffb410bc1d8528b,8d891dfc0e29d744c15c18adced74a68,93.458001
d3f7be6d64eae7405b7bf024e04807a2,18.248884,-100.3226215,2,10:00:00,9:41:47,false,d1f0bd4b237c1358f09db22076b940e7,d1f0bd4b237c1358f09db22076b940e7,0dc6fb5924a8b917bc641666ed02663c,124.778761
e0ad6533b6cd9a382ec6c1d473c5036c,18.22911027,-100.3226724,2,11:00:00,10:07:53,false,06a71e8ab0c6db5ce22a4689fd76a3f4,06a71e8ab0c6db5ce22a4689fd76a3f4,afd0a7b8d546fcc697bb93a5934b65c3,130.321208
f169a660e8667798da11775767cdce78,18.28933393,-100.3227956,2,12:00:00,11:29:36,false,163278a2f745b3416526066a5fe12f3b,163278a2f745b3416526066a5fe12f3b,86e6e48d0cb57f794b0c48162409fa74,74.993118
073eca5efe7ebb1073ec80cb90185c20,18.22078193,-100.4173046,2,12:00:00,11:00:15,false,e0322b49c16e71de1fe1837d98f23468,e0322b49c16e71de1fe1837d98f23468,3dd9ae393aa5327edfb27388758436bd,65.901589
99a360636e3cb03552b6d74b4ccef603,18.22071317,-100.4172233,2,10:00:00,9:44:54,false,649984b82d3dd1a1083a72de6b4b348c,649984b82d3dd1a1083a72de6b4b348c,9ef0cb7f21f56bf24ca5ef4194f69c64,93.661068
c1800bdd3c666b497b39d6e526917167,18.22094696,-100.4172733,2,10:00:00,8:46:04,false,a083ea904c55052cdb58917ed790ca96,a083ea904c55052cdb58917ed790ca96,2d69acabaafd2516eeffd3c69b3c1328,66.5212
b4c64ceaa31265a4b2ff0dec82b9beeb,18.21779029,-100.3446873,2,17:00:00,16:33:37,false,2bfd559c4bef0e59fee43bf322e3ea5e,2bfd559c4bef0e59fee43bf322e3ea5e,f45fd1f4de72b451f9d99e2a033de337,83.232147
e330962281e3de49b3d3856653e6da71,18.30324148,-100.3444474,2,11:00:00,10:22:00,false,29c7a131083ab05e25a3d9b4d49d8c5e,29c7a131083ab05e25a3d9b4d49d8c5e,a3bed30221372366bcd9b9779f395d0b,87.612301
4211ea0cba325e47bb71b7fed552d9c4,18.26840175,-100.312496,2,9:00:00,8:28:39,false,8a7dc2f6cfa12b8f6514043aaf5e5bc7,8a7dc2f6cfa12b8f6514043aaf5e5bc7,f45fd1f4de72b451f9d99e2a033de337,88.363666
df5de78cdde5a1fcd3ab2e1854a4b7a0,18.26850387,-100.3125657,2,12:00:00,11:36:23,false,91b508d81eb559e384062d1c046594b9,91b508d81eb559e384062d1c046594b9,8d891dfc0e29d744c15c18adced74a68,153.3419
4616d54ad9cb3f34dea010dd777f90c7,18.28682063,-100.3322767,2,10:00:00,9:58:10,false,47e079a2408b680d81ff7637e376ff66,1452af436d5f09d058810324f8a43548,86e6e48d0cb57f794b0c48162409fa74,174.948732
ce264645741a0fc79890f06ea7b2336b,18.27793708,-100.3033117,2,13:00:00,12:13:45,false,7ff3aa21189a1cc947a2b89014b453ba,7ff3aa21189a1cc947a2b89014b453ba,69803373c7d9ae282a73c00e69f119b4,60.097044
b72060dd7e1b8ea5c4e7061dc35ce31f,18.22523411,-100.4051692,2,12:00:00,10:23:07,false,c11a9ee46ee2c3234d196a2c06d65198,c11a9ee46ee2c3234d196a2c06d65198,6045691f87544c937a09d350d42eb3ba,91.439743
f28062e9d0b9d4cfa1a44d248b9c5e84,18.22146122,-100.328185,2,11:00:00,10:02:37,false,b49ed2d763e39e6834e0f5f35c754132,b49ed2d763e39e6834e0f5f35c754132,850fc42b029db68d97f0aea6a8babe36,69.157783
975dbd17902585a82876fe61d7005e0c,18.28472618,-100.364886,2,10:00:00,9:14:10,false,3cd818bedd90395346bce737dec49e3f,3cd818bedd90395346bce737dec49e3f,86e6e48d0cb57f794b0c48162409fa74,132.419758
2d6365ef228fe1197d22b9c98596a448,18.19733361,-100.4001431,2,12:00:00,11:20:59,false,60cbe02ce6b97a961dc6a07e3ce596e0,60cbe02ce6b97a961dc6a07e3ce596e0,afab9a94cf9d3d20ba7192204d5e48b3,155.921219
119166fd7165cb2898aadf8a43538350,18.28512379,-100.3599069,2,10:00:00,8:56:17,false,f3010c097d4ce083079bedef7296e3ec,f3010c097d4ce083079bedef7296e3ec,86e6e48d0cb57f794b0c48162409fa74,95.872938
17daa9724e617a9ee38dd3cf367f4429,18.21998302,-100.3398068,2,10:00:00,9:34:01,false,1469ec61e6ecbc286d517aa9dbd6d9ac,1469ec61e6ecbc286d517aa9dbd6d9ac,850fc42b029db68d97f0aea6a8babe36,152.064979
2eff8a7fc14ae172469e39978adfac3a,18.29295803,-100.3538802,2,12:00:00,11:02:42,false,78cda2181a7a98488ddf1878c8146c04,78cda2181a7a98488ddf1878c8146c04,86e6e48d0cb57f794b0c48162409fa74,107.341451
475d652e3885af91dd8a3873429c96f8,18.29028504,-100.4216702,2,11:00:00,10:28:56,false,e77ca6f3ed19586bcc3840677caea4a5,e77ca6f3ed19586bcc3840677caea4a5,3dd9ae393aa5327edfb27388758436bd,76.983809
143756b901adf85760ad8b96b7e6cb58,18.29006349,-100.4216034,2,11:00:00,9:36:14,false,fc2f679a0856504a198218e607e8e38d,fc2f679a0856504a198218e607e8e38d,afab9a94cf9d3d20ba7192204d5e48b3,88.738024
21a951ca1517d7b705a05002e4211d23,18.29532607,-100.3220857,2,9:00:00,8:49:47,false,682d7c7528d3d2b1b7852522197bbd8b,682d7c7528d3d2b1b7852522197bbd8b,821dc9d74061fe7654b9ec20e574022d,115.705848
